GSM149579	GSM149580	GSM149581	GSM149582	GSM149583	GSM149584	GSM149585	GSM149586	GSM149587	GSM149588	GSM149589	GSM149590	GSM149591	GSM149592	GSM149593	GSM149594	GSM149595	GSM149596	GSM149597	GSM149598
Nucleotide GPCRs (Wikipathways)	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	1	1	1	1	-1	-1
Prostaglandin Synthesis and Regulation (Wikipathways)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cell Cycle Checkpoints (Reactome)	0	0	0	0	0	0	0	0	1	1	1	1	0	0	-1	-1	0	0	1	1
Signaling by Insulin receptor (Reactome)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Integrin cell surface interactions (Reactome)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Signaling by TGF beta (Reactome)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
DNA Repair (Reactome)	0	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	1	1
Metabolism of proteins (Reactome)	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
Signaling in Immune system (Reactome)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Metabolism of vitamins and cofactors (Reactome)	-1	0	0	0	0	0	0	0	1	1	1	1	1	1	0	-1	-1	-1	0	0
DNA Replication (Reactome)	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	1
Signaling by EGFR (Reactome)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Signalling by NGF (Reactome)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1
Opioid Signalling (Reactome)	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1
Metabolism of nucleotides (Reactome)	0	0	-1	-1	0	0	0	0	1	0	1	0	-1	-1	-1	-1	0	0	0	0
Circadian Clock (Reactome)	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
Hemostasis (Reactome)	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	0
Metabolism of carbohydrates (Reactome)	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1	-1	-1	0	0	0	0
Muscle contraction (Reactome)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	-1	-1
Myogenesis (Reactome)	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1
Regulatory RNA pathways (Reactome)	0	0	-1	-1	-1	-1	0	0	1	1	1	1	0	-1	-1	-1	-1	-1	-1	-1
Metabolism of lipids and lipoproteins (Reactome)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Transmembrane transport of small molecules (Reactome)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Signaling by BMP (Reactome)	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Metabolism of porphyrins (Reactome)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	1	0	1	1
Synaptic Transmission (Reactome)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Signaling by VEGF (Reactome)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Membrane Trafficking (Reactome)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Regulation of beta-cell development (Reactome)	0	0	-1	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1
Signaling by GPCR (Reactome)	-1	-1	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1
Biological oxidations (Reactome)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Transcription (Reactome)	0	0	0	0	0	0	0	0	1	1	1	1	0	0	-1	-1	-1	-1	1	0
Cell Cycle, Mitotic (Reactome)	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	1
Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins. (Reactome)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Gene Expression (Reactome)	0	0	-1	-1	0	0	0	0	1	1	1	1	0	0	-1	-1	-1	-1	0	-1
Signaling by PDGF (Reactome)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pyruvate metabolism and Citric Acid (TCA) cycle (Reactome)	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Metabolism of nitric oxide (Reactome)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Diabetes pathways (Reactome)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Metabolism of RNA (Reactome)	-1	-1	0	0	0	0	0	0	1	1	1	1	0	0	-1	-1	-1	-1	0	0
Signaling by Wnt (Reactome)	-1	-1	-1	-1	-1	-1	-1	-1	1	0	0	0	-1	-1	-1	-1	-1	-1	0	-1
Botulinum neurotoxicity (Reactome)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Apoptosis (Reactome)	-1	-1	0	0	-1	0	0	-1	0	0	0	0	-1	-1	-1	-1	0	0	-1	-1
Signaling by Notch (Reactome)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1
Influenza Infection (Reactome)	0	0	0	0	0	0	0	0	1	1	1	1	0	0	-1	-1	-1	-1	1	0
HIV Infection (Reactome)	-1	-1	0	0	0	1	1	1	1	1	1	1	0	0	-1	-1	0	-1	1	1
Cell junction organization (Reactome)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Signaling by Rho GTPases (Reactome)	0	0	0	0	0	0	0	0	-1	-1	0	0	0	0	1	1	1	1	-1	0
Integration of energy metabolism (Reactome)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
mRNA Processing (Reactome)	0	0	0	0	0	0	0	0	1	1	1	1	0	0	-1	-1	-1	-1	0	0
Metabolism of amino acids and derivatives (Reactome)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Chromosome Maintenance (Reactome)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Signaling by FGFR (Reactome)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Axon guidance (Reactome)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1
Interactions of the immunoglobulin superfamily (IgSF) member proteins (Reactome)	-1	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	1	1	1	1	-1	-1
EGFR1 up reg. targets (Netpath)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
EGFR1 down reg. targets (Netpath)	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TGF beta receptor up reg. targets (Netpath)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
TGF beta receptor down reg. targets (Netpath)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
TNF alpha/NF-kB up reg. targets (Netpath)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
TNF alpha/NF-kB down reg. targets (Netpath)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Alpha6 Beta4 Integrin up reg. targets (Netpath)	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1
ID up reg. targets (Netpath)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
ID down reg. targets (Netpath)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0
Hedgehog up reg. targets (Netpath)	-1	-1	-1	-1	-1	0	-1	-1	0	0	0	0	-1	-1	-1	-1	-1	-1	0	0
Notch up reg. targets (Netpath)	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	0	0	0
Notch down reg. targets (Netpath)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Wnt up reg. targets (Netpath)	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Wnt down reg. targets (Netpath)	0	0	0	0	0	0	0	0	0	0	0	-1	-1	0	0	0	0	0	-1	0
AR up reg. targets (Netpath)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
AR down reg. targets (Netpath)	0	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1	1	1	-1	-1
Kit Receptor up reg. targets (Netpath)	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0
B Cell Receptor up reg. targets (Netpath)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
B Cell Receptor down reg. targets (Netpath)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
T Cell Receptor up reg. targets (Netpath)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
T Cell Receptor down reg. targets (Netpath)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	0	0	0	-1
IL-1 up reg. targets (Netpath)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
IL-1 down reg. targets (Netpath)	0	-1	-1	-1	0	0	0	0	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1
IL-2 up reg. targets (Netpath)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
IL-2 down reg. targets (Netpath)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
IL-3 up reg. targets (Netpath)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
IL-3 down reg. targets (Netpath)	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0
IL-4 up reg. targets (Netpath)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
IL-4 down reg. targets (Netpath)	0	0	-1	-1	-1	0	-1	-1	-1	0	0	0	-1	-1	0	0	0	0	-1	0
IL-5 up reg. targets (Netpath)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1
IL-5 down reg. targets (Netpath)	1	1	1	1	1	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1
IL-6 up reg. targets (Netpath)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
IL-6 down reg. targets (Netpath)	0	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1	1	1	0	0	0	0
IL-7 up reg. targets (Netpath)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
IL-7 down reg. targets (Netpath)	0	0	0	0	1	0	1	1	0	0	0	0	0	0	-1	-1	-1	-1	0	0
IL-9 up reg. targets (Netpath)	0	0	0	0	0	0	0	0	-1	0	-1	0	0	0	0	0	0	0	0	-1
{ABL1,15} (Static Module)	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	-1	-1	-1	-1
{ACTB,297} (Static Module)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
{ACY1,11} (Static Module)	0	0	0	0	0	0	0	0	1	1	1	1	0	0	-1	-1	-1	-1	0	0
{AKT1,48} (Static Module)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
{AP1G1,16} (Static Module)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
{APP,28} (Static Module)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
{AR,28} (Static Module)	-1	-1	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
{ARF1,36} (Static Module)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
{ARF6,34} (Static Module)	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0
{ARRB2,743} (Static Module)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
{ASH2L,391} (Static Module)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0
{ATP5D,19} (Static Module)	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
{BCL2,27} (Static Module)	-1	-1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	-1	-1	-1	-1
{BCLAF1,25} (Static Module)	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1
{BRCA1,28} (Static Module)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
{BSG,21} (Static Module)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
{C5,29} (Static Module)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	0	0	1	1	0	0
{CALM1,30} (Static Module)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
{CASP3,41} (Static Module)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
{CBX4,10} (Static Module)	-1	-1	0	0	0	0	0	0	-1	-1	-1	0	0	0	-1	-1	-1	-1	-1	-1
{CD4,14} (Static Module)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
{CDC2,351} (Static Module)	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-1	-1	0	0	1	1
{CDK5,14} (Static Module)	0	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1	-1	-1	0	0	-1	-1
{CEBPA,13} (Static Module)	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1
{CHRNA1,13} (Static Module)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	1
{CNGB1,17} (Static Module)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
{CNOT2,13} (Static Module)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0
{CREB1,40} (Static Module)	0	-1	0	0	0	0	0	0	0	0	0	0	-1	-1	1	1	0	0	0	0
{CTNNB1,130} (Static Module)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
{CTSB,26} (Static Module)	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
{CYCS,35} (Static Module)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
{DHX15,14} (Static Module)	0	-1	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0
{DLD,16} (Static Module)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
{DLG4,28} (Static Module)	1	1	1	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	1	1	1	1	0	0
{DNM1,22} (Static Module)	0	0	0	1	0	0	0	1	1	1	0	1	1	1	1	0	0	1	0	-1
{DVL1L1,17} (Static Module)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
{EGFR,24} (Static Module)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
{EP300,115} (Static Module)	1	1	0	0	0	0	0	0	0	0	-1	-1	0	0	0	0	0	-1	-1	0
{EPRS,15} (Static Module)	0	0	0	0	0	0	1	0	1	1	1	1	0	1	-1	-1	-1	-1	1	0
{ESR1,24} (Static Module)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	0	0	0
{ETS1,13} (Static Module)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
{EXOSC10,15} (Static Module)	-1	-1	-1	-1	-1	-1	-1	-1	1	0	1	1	-1	-1	-1	-1	-1	-1	-1	-1
{F2,46} (Static Module)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
{FCGR2B,50} (Static Module)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
{FLI1,10} (Static Module)	1	1	0	0	0	0	0	-1	0	0	0	0	-1	-1	0	0	1	1	-1	-1
{FYN,30} (Static Module)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
{GAPDH,13} (Static Module)	0	0	-1	-1	0	0	-1	-1	0	0	0	0	0	0	-1	-1	1	0	0	0
{GLI1,45} (Static Module)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1
{GNAT3,28} (Static Module)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
{GRB2,414} (Static Module)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
{HCLS1,17} (Static Module)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
{HDAC1,108} (Static Module)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
{HIF1A,58} (Static Module)	0	0	-1	-1	-1	-1	-1	-1	-1	0	-1	0	-1	-1	0	0	-1	-1	-1	-1
{HIST3H3,14} (Static Module)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
{HLA-A,53} (Static Module)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
{HMGB1,14} (Static Module)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
{HRAS,27} (Static Module)	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	0	-1	-1	0	0	-1	-1	-1
{HSP90AA1,18} (Static Module)	0	0	-1	-1	0	-1	0	-1	1	1	1	1	0	0	-1	-1	-1	-1	0	0
{HSP90B1,11} (Static Module)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
{HSPA8,34} (Static Module)	0	0	-1	-1	0	-1	-1	-1	0	0	0	0	-1	-1	0	-1	-1	-1	1	1
{HTATIP,20} (Static Module)	0	0	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	-1	0	-1	0	0
{HTT,61} (Static Module)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
{IGF1,13} (Static Module)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
{INS,35} (Static Module)	0	-1	0	0	-1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1
{JUN,88} (Static Module)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
{KCNAB1,18} (Static Module)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
{KCNB1,10} (Static Module)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
{LDB1,15} (Static Module)	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
{LRP1,11} (Static Module)	0	0	-1	-1	0	0	0	0	0	0	-1	0	-1	-1	0	0	0	0	0	0
{MAPK14,123} (Static Module)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	1	-1	-1
{MED1,34} (Static Module)	0	0	1	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1
{MEIS1,22} (Static Module)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
{MLH1,20} (Static Module)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
{MLLT4,12} (Static Module)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
{MMP9,11} (Static Module)	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	0	0
{NAP1L1,23} (Static Module)	1	1	0	0	1	0	0	1	0	0	0	0	1	1	1	1	1	1	1	1
{NCOR2,24} (Static Module)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
{NDUFS8,49} (Static Module)	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1
{NFIC,21} (Static Module)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
{NFKB1,33} (Static Module)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1
{NGF,31} (Static Module)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
{NME2,10} (Static Module)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
{NOS3,11} (Static Module)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
{NOTCH1,44} (Static Module)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	-1
{NRP1,11} (Static Module)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
{OTX2,18} (Static Module)	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
{PAK2,10} (Static Module)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
{PAX6,19} (Static Module)	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
{PCNA,34} (Static Module)	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1
{PLCG2,30} (Static Module)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
{PLG,10} (Static Module)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
{PLXNB1,15} (Static Module)	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	-1	-1
{POLR2A,195} (Static Module)	0	0	0	0	0	0	0	0	1	1	1	1	0	0	-1	-1	-1	-1	0	0
{POLR2H,109} (Static Module)	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1
{POR,15} (Static Module)	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1
{POU2F1,21} (Static Module)	0	0	0	0	1	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0
{PPP2CA,20} (Static Module)	-1	-1	-1	-1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1
{PRKAA2,24} (Static Module)	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
{PRKACA,33} (Static Module)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
{PRKCA,14} (Static Module)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	-1	-1	-1	-1
{PRKG1,21} (Static Module)	0	0	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	-1	-1	-1
{PTPRF,10} (Static Module)	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
{RAB5A,41} (Static Module)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1
{RAC1,133} (Static Module)	0	0	0	0	0	0	0	0	-1	-1	-1	-1	0	0	0	0	0	0	-1	0
{RAD21,11} (Static Module)	1	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	1
{RAD51,13} (Static Module)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
{RAN,17} (Static Module)	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	1	-1	-1	-1	-1	-1	-1	0	0
{RAP1A,22} (Static Module)	0	0	0	0	1	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0
{RARA,17} (Static Module)	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
{RASGRF1,26} (Static Module)	-1	-1	-1	-1	0	0	0	1	-1	-1	-1	-1	0	0	-1	0	-1	-1	-1	-1
{RB1,11} (Static Module)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
{ROCK1,10} (Static Module)	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1
{RPS27A,138} (Static Module)	0	0	0	0	0	0	0	0	1	1	1	1	0	0	-1	-1	-1	-1	0	-1
{RXRA,51} (Static Module)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	0	0	-1	-1
{RYR2,15} (Static Module)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	-1	-1
{SDC1,30} (Static Module)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
{SEC24B,18} (Static Module)	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
